Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
1110 N Britain Road,Irving,TX,75061,Single Family,Active,,9/28/2023 1:05:00 PM,492900,,,4,3,2304,,2023,53,,,https://www.xome.com/homes-for-sale/1110-N-Britain-Road-Irving-TX-75061-384821352,20414518,N,32.82539,-96.94234
4349 Madera Road,Irving,TX,75038,Townhouse,Active,,9/25/2023 4:20:00 PM,219900,,,2,2,1034,25.759,1981,56,,,https://www.xome.com/homes-for-sale/4349-Madera-Road-Irving-TX-75038-384717679,20439367,N,32.86322,-96.98171
330 Las Colinas Boulevard Unit 820,Irving,TX,75039,Condo,Active,,9/21/2023 4:35:00 PM,321500,,,1,1,984,3.217,2001,60,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-820-Irving-TX-75039-384628937,20436463,N,32.86558,-96.93816
402 W 15th Street,Irving,TX,75060,Single Family,Active,,9/20/2023 7:21:00 PM,384500,,,4,2,2394,0.177,1952,61,,,https://www.xome.com/homes-for-sale/402-W-15th-Street-Irving-TX-75060-384594735,20436337,N,32.7989,-96.9508
1353 Linkside Drive,Irving,TX,75038,Townhouse,Active,,9/20/2023 1:21:00 PM,865000,,,3,4,2409,0.0631,2023,61,,,https://www.xome.com/homes-for-sale/1353-Linkside-Drive-Irving-TX-75038-384585965,20435643,N,32.874,-96.9793
548 Rawls Circle,Irving,TX,75061,Single Family,Active,,9/20/2023 9:44:00 AM,454900,,,4,2,1770,,2023,62,,,https://www.xome.com/homes-for-sale/548-Rawls-Circle-Irving-TX-75061-384574770,20413887,N,32.82559,-96.94099
1357 Linkside Drive,Irving,TX,75038,Townhouse,Active,,9/20/2023 8:47:00 AM,920000,,,3,5,2535,0.077,2023,62,,,https://www.xome.com/homes-for-sale/1357-Linkside-Drive-Irving-TX-75038-384572345,20435604,N,32.874,-96.9793
3604 Harvard Street,Irving,TX,75062,Single Family,Active,,9/19/2023 3:19:00 PM,320000,,,4,2,1351,0.179,1962,62,,,https://www.xome.com/homes-for-sale/3604-Harvard-Street-Irving-TX-75062-384557149,20434208,N,32.85446,-96.98517
4113 Esters Road Unit 601,Irving,TX,75038,Condo,Active,,9/19/2023 10:17:00 AM,129900,,,1,1,483,2.308,1984,63,,,https://www.xome.com/homes-for-sale/4113-Esters-Road-Unit-601-Irving-TX-75038-384545896,20434837,N,32.86361,-97.00291
4943 Cloudcroft Lane,Irving,TX,75038,Single Family,Active,,9/19/2023 5:32:00 AM,1550000,,,3,4,3624,0.204,2017,63,,,https://www.xome.com/homes-for-sale/4943-Cloudcroft-Lane-Irving-TX-75038-384538479,20434080,N,32.87401,-96.94911
1301 Ronne Drive,Irving,TX,75060,Land,Active,,9/16/2023 9:02:00 AM,189000,,,,,,0.376,,66,,,https://www.xome.com/landlots-for-sale/1301-Ronne-Drive-Irving-TX-75060-384486876,20426478,N,32.80096,-96.96285
1520 Brookhollow Drive,Irving,TX,75061,Single Family,Active,,9/16/2023 5:17:00 AM,344500,,,3,2,1567,0.178,1955,66,,,https://www.xome.com/homes-for-sale/1520-Brookhollow-Drive-Irving-TX-75061-384484268,20432881,N,32.83047,-96.92249
330 Las Colinas Boulevard Unit 444,Irving,TX,75039,Condo,Active,,9/15/2023 6:18:00 PM,265000,,,1,1,805,3.217,2001,66,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-444-Irving-TX-75039-384477413,20424259,N,32.86558,-96.93816
8910 Forest Hills Drive,Irving,TX,75063,Single Family,Active,,9/15/2023 1:33:00 PM,649000,,,4,3,3512,0.131,2004,66,,,https://www.xome.com/homes-for-sale/8910-Forest-Hills-Drive-Irving-TX-75063-384461473,20431914,N,32.92834,-96.96159
4401 Windsor Ridge Drive,Irving,TX,75038,Single Family,Active,,9/15/2023 12:47:00 PM,2400000,,,5,9,11012,0.427,1991,66,,,https://www.xome.com/homes-for-sale/4401-Windsor-Ridge-Drive-Irving-TX-75038-384459752,20432106,N,32.86695,-96.95634
2620 Fountain Drive,Irving,TX,75063,Single Family,Active,,9/15/2023 8:47:00 AM,995000,,,5,4,4121,0.179,2014,67,,,https://www.xome.com/homes-for-sale/2620-Fountain-Drive-Irving-TX-75063-384445854,20427719,N,32.90379,-96.98544
304 S Main Street,Irving,TX,75060,Single Family,Active,,9/14/2023 6:32:00 PM,439500,,,3,2,1782,0.3,1936,67,,,https://www.xome.com/homes-for-sale/304-S-Main-Street-Irving-TX-75060-384433801,20431946,N,32.81157,-96.94596
10103 Norman Court,Irving,TX,75063,Single Family,Active,,9/14/2023 10:02:00 AM,565000,,,3,3,2325,0.276,1994,68,,,https://www.xome.com/homes-for-sale/10103-Norman-Court-Irving-TX-75063-384416974,20429785,N,32.94272,-96.94662
805 Rockingham Drive,Irving,TX,75063,Townhouse,Active,,9/13/2023 10:05:00 AM,599998,,,3,3,3143,0.051,2011,69,,,https://www.xome.com/homes-for-sale/805-Rockingham-Drive-Irving-TX-75063-384378721,20428546,N,32.91814,-96.95623
330 Las Colinas Boulevard Unit 416,Irving,TX,75039,Condo,Active,,9/10/2023 7:04:00 PM,279000,,,1,1,861,3.217,2001,71,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-416-Irving-TX-75039-384306836,20428331,N,32.86558,-96.93816
