Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
511 Horse Shoe Drive,Euless,TX,76039,Single Family,NEW LISTING,,12/14/2023 8:26:00 AM,360000,,,3,2,1585,0.105,2000,3,,,https://www.xome.com/homes-for-sale/511-Horse-Shoe-Drive-Euless-TX-76039-387340267,20494875,N,32.84908,-97.07478
1401 Glynn Oaks Drive,Arlington,TX,76010,Single Family,NEW LISTING,,12/14/2023 8:26:00 AM,320000,,,4,2,1312,0.191,1964,3,,,https://www.xome.com/homes-for-sale/1401-Glynn-Oaks-Drive-Arlington-TX-76010-387340256,20494465,N,32.71233,-97.08923
2816 Autumn Drive,Hurst,TX,76054,Single Family,NEW LISTING,,12/14/2023 8:26:00 AM,395000,,,3,2,2066,0.2226,1974,3,12/17/2023 12:00:00 PM,12/17/2023 2:00:00 PM,https://www.xome.com/homes-for-sale/2816-Autumn-Drive-Hurst-TX-76054-387340255,20493740,N,32.86914,-97.18101
224 Chevy Chase Drive,Fort Worth,TX,76134,Single Family,NEW LISTING,,12/14/2023 8:26:00 AM,229900,,,3,2,1106,0.164,1972,3,,,https://www.xome.com/homes-for-sale/224-Chevy-Chase-Drive-Fort-Worth-TX-76134-387340253,20493491,N,32.64771,-97.32649
1517 Twin Post Court,Arlington,TX,76014,Single Family,NEW LISTING,,12/14/2023 8:11:00 AM,269000,,,3,2,1122,0.179,1969,3,,,https://www.xome.com/homes-for-sale/1517-Twin-Post-Court-Arlington-TX-76014-387339966,20494180,N,32.69857,-97.08737
1708 Mustang Court,Cedar Hill,TX,75104,Single Family,NEW LISTING,,12/14/2023 8:11:00 AM,609999,,,3,3,2897,1.08,2002,3,,,https://www.xome.com/homes-for-sale/1708-Mustang-Court-Cedar-Hill-TX-75104-387339963,20493952,N,32.55201,-97.00132
2820 Avenue K,Fort Worth,TX,76105,Single Family,NEW LISTING,,12/14/2023 7:56:00 AM,229000,,,3,1,1206,0.144,1948,3,12/17/2023 11:00:00 AM,12/17/2023 1:00:00 PM,https://www.xome.com/homes-for-sale/2820-Avenue-K-Fort-Worth-TX-76105-387339798,20492609,N,32.72602,-97.28439
1500 Alberi Drive,Euless,TX,76039,Single Family,NEW LISTING,,12/14/2023 7:41:00 AM,459000,,,3,4,2161,0.117,1996,3,,,https://www.xome.com/homes-for-sale/1500-Alberi-Drive-Euless-TX-76039-387339617,20494827,N,32.85768,-97.0742
1186 Barberry Drive,Burleson,TX,76028,Single Family,NEW LISTING,,12/14/2023 7:41:00 AM,410000,,,3,2,2264,0.196,2016,3,,,https://www.xome.com/homes-for-sale/1186-Barberry-Drive-Burleson-TX-76028-387339606,20493918,N,32.522,-97.29107
4570 Dove Tree Court,Fort Worth,TX,76137,Single Family,NEW LISTING,,12/14/2023 7:41:00 AM,289000,,,3,2,1505,0.171,1983,3,12/17/2023 1:00:00 PM,12/17/2023 3:30:00 PM,https://www.xome.com/homes-for-sale/4570-Dove-Tree-Court-Fort-Worth-TX-76137-387339600,20488611,N,32.86404,-97.28754
