Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
4134 Khawlah Nafal Court,Irving,TX,75038,Single Family,NEW LISTING,,1/22/2024 10:33:00 PM,968600,,,5,5,3445,0.091,2024,7,,,https://www.xome.com/homes-for-sale/4134-Khawlah-Nafal-Court-Irving-TX-75038-388354408,20518116,N,32.874,-96.9793
330 Las Colinas Boulevard Unit 1420,Irving,TX,75039,Condo,NEW LISTING,,1/22/2024 4:44:00 PM,725000,,,3,3,2020,3.217,2001,7,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-1420-Irving-TX-75039-388343858,20517267,N,32.86558,-96.93816
1110 Hilltop Drive,Irving,TX,75060,Land,Active,,1/21/2024 11:35:00 AM,495000,,,,,,1.45,,9,,,https://www.xome.com/landlots-for-sale/1110-Hilltop-Drive-Irving-TX-75060-388322150,20517000,N,32.80192,-96.95338
1145 Bay Side Drive,Irving,TX,75060,Single Family,Active,,1/21/2024 9:06:00 AM,425000,,,3,3,2025,0.141,1998,9,,,https://www.xome.com/homes-for-sale/1145-Bay-Side-Drive-Irving-TX-75060-388321299,20516947,N,32.79382,-96.96191
1102 Edwards Court,Irving,TX,75062,Single Family,Active,,1/20/2024 3:48:00 PM,425000,,,4,2,2335,0.177,1964,9,,,https://www.xome.com/homes-for-sale/1102-Edwards-Court-Irving-TX-75062-388314412,20512890,N,32.85563,-96.95931
2530 Cunningham Street,Irving,TX,75062,Single Family,Active,,1/20/2024 11:12:00 AM,318000,,,3,2,1108,0.2166,1961,10,,,https://www.xome.com/homes-for-sale/2530-Cunningham-Street-Irving-TX-75062-388311080,20503619,N,32.84488,-96.97842
330 Las Colinas Boulevard Unit 424,Irving,TX,75039,Condo,Active,,1/20/2024 6:56:00 AM,299000,,,2,1,1001,3.217,2001,10,,,https://www.xome.com/homes-for-sale/330-Las-Colinas-Boulevard-Unit-424-Irving-TX-75039-388308344,20511222,N,32.86558,-96.93816
2714 Morgan Street,Irving,TX,75062,Single Family,Active,,1/19/2024 5:24:00 PM,265000,,,4,2,1454,0.166,1960,10,,,https://www.xome.com/homes-for-sale/2714-Morgan-Street-Irving-TX-75062-388287284,56281304,N,32.84576,-96.98207
1601 E Shady Grove Road,Irving,TX,75060,Single Family,Active,,1/19/2024 12:34:00 PM,250000,,,3,1,1014,0.162,1930,10,,,https://www.xome.com/homes-for-sale/1601-E-Shady-Grove-Road-Irving-TX-75060-388276951,20512731,N,32.80149,-96.92547
1501 Bonham Court,Irving,TX,75038,Single Family,Active,,1/19/2024 12:20:00 PM,975000,,,4,5,3290,0.386,1989,10,,,https://www.xome.com/homes-for-sale/1501-Bonham-Court-Irving-TX-75038-388276667,20516130,N,32.86328,-96.96674
1308 Towne Colony Drive,Irving,TX,75061,Single Family,Active,,1/19/2024 7:19:00 AM,415000,,,3,2,2080,0.115,1985,11,,,https://www.xome.com/homes-for-sale/1308-Towne-Colony-Drive-Irving-TX-75061-388268877,20515725,N,32.82702,-97.00999
1004 English Street,Irving,TX,75061,Single Family,Active,,1/18/2024 3:59:00 PM,320000,,,3,2,1836,0.215,1950,11,,,https://www.xome.com/homes-for-sale/1004-English-Street-Irving-TX-75061-388251214,20513408,N,32.8234,-96.93826
1963 Lantana Lane,Irving,TX,75063,Townhouse,Active,,1/18/2024 12:44:00 PM,450000,,,3,3,1821,0.072,2007,11,,,https://www.xome.com/homes-for-sale/1963-Lantana-Lane-Irving-TX-75063-388244199,20514906,N,32.92347,-96.96982
8619 Knox Street,Irving,TX,75063,Townhouse,Active,,1/17/2024 6:10:00 PM,415000,,,2,3,1961,0.07,2010,12,,,https://www.xome.com/homes-for-sale/8619-Knox-Street-Irving-TX-75063-388224083,20511853,N,32.92188,-96.96902
1606 Addington Street,Irving,TX,75062,Single Family,Active,,1/17/2024 7:03:00 AM,535000,,,6,3,3236,0.177,1960,13,,,https://www.xome.com/homes-for-sale/1606-Addington-Street-Irving-TX-75062-388206467,20511609,N,32.85178,-96.96679
401 Balboa Street,Irving,TX,75062,Single Family,Active,,1/16/2024 7:05:00 AM,849000,,,4,3,3954,0.325,1976,14,,,https://www.xome.com/homes-for-sale/401-Balboa-Street-Irving-TX-75062-388180224,20509999,N,32.85473,-96.93821
3209 McDermott Street,Irving,TX,75061,Single Family,Active,,1/13/2024 7:43:00 PM,335900,,,3,2,1620,0.171,1965,16,,,https://www.xome.com/homes-for-sale/3209-McDermott-Street-Irving-TX-75061-388146207,20512049,N,32.82492,-96.98855
4408 Westminster Drive,Irving,TX,75038,Townhouse,Active,,1/13/2024 11:55:00 AM,199950,,,2,2,1150,0.021,1973,17,,,https://www.xome.com/homes-for-sale/4408-Westminster-Drive-Irving-TX-75038-388140863,20510820,N,32.86619,-96.98013
2700 Game Lake Drive,Irving,TX,75060,Single Family,Active,,1/12/2024 6:05:00 PM,314900,,,3,2,1326,0.182,1985,17,,,https://www.xome.com/homes-for-sale/2700-Game-Lake-Drive-Irving-TX-75060-388127107,20503326,N,32.78522,-96.96011
3636 Vienna Street,Irving,TX,75038,Single Family,Active,,1/12/2024 9:17:00 AM,398000,,,3,3,1724,0.097,2008,18,,,https://www.xome.com/homes-for-sale/3636-Vienna-Street-Irving-TX-75038-388108879,20510196,N,32.8644,-96.99512
653 Via Ravello,Irving,TX,75039,Condo,Active,,1/12/2024 8:17:00 AM,549900,,,3,4,2987,15.225,2007,18,,,https://www.xome.com/homes-for-sale/653-Via-Ravello-Irving-TX-75039-388107280,20504236,N,32.89967,-96.95647
2028 S Hill Drive,Irving,TX,75038,Single Family,Active,,1/12/2024 8:17:00 AM,715000,,,3,3,3051,0.233,2005,18,,,https://www.xome.com/homes-for-sale/2028-S-Hill-Drive-Irving-TX-75038-388107276,20504746,N,32.85741,-96.97307
1522 Oak Lea Drive,Irving,TX,75061,Single Family,Active,,1/11/2024 1:08:00 PM,269999,,,3,1,1087,0.176,1948,18,,,https://www.xome.com/homes-for-sale/1522-Oak-Lea-Drive-Irving-TX-75061-388052312,20497722,N,32.83013,-96.9399
3926 Grimes Road,Irving,TX,75061,Single Family,Active,,1/11/2024 7:37:00 AM,215000,,,3,1,624,0.205,1972,19,,,https://www.xome.com/homes-for-sale/3926-Grimes-Road-Irving-TX-75061-388042580,20508842,N,32.825,-97.00162
2348 Southcourt Circle,Irving,TX,75038,Townhouse,Active,,1/10/2024 12:13:00 PM,249000,,,1,2,960,0.056,1997,19,,,https://www.xome.com/homes-for-sale/2348-Southcourt-Circle-Irving-TX-75038-388020518,20506078,N,32.86423,-96.97852
5420 Tomlinson Drive,Irving,TX,75039,Townhouse,Active,,1/10/2024 8:42:00 AM,709900,,,3,4,1981,0.0467,2024,20,,,https://www.xome.com/homes-for-sale/5420-Tomlinson-Drive-Irving-TX-75039-388015192,20509120,N,32.87012,-96.93294
